timestamp, memory.used [MiB], memory.total [MiB]
2025/04/28 15:05:36.965, 158 MiB, 12282 MiB
2025/04/28 15:05:37.965, 158 MiB, 12282 MiB
2025/04/28 15:05:38.965, 158 MiB, 12282 MiB
2025/04/28 15:05:39.966, 158 MiB, 12282 MiB
2025/04/28 15:05:40.966, 158 MiB, 12282 MiB
2025/04/28 15:05:41.966, 158 MiB, 12282 MiB
2025/04/28 15:05:42.967, 158 MiB, 12282 MiB
2025/04/28 15:05:43.967, 158 MiB, 12282 MiB
2025/04/28 15:05:44.968, 158 MiB, 12282 MiB
2025/04/28 15:05:45.968, 158 MiB, 12282 MiB
2025/04/28 15:05:46.968, 158 MiB, 12282 MiB
2025/04/28 15:05:47.969, 256 MiB, 12282 MiB
2025/04/28 15:05:48.969, 258 MiB, 12282 MiB
2025/04/28 15:05:49.969, 358 MiB, 12282 MiB
2025/04/28 15:05:50.970, 158 MiB, 12282 MiB
2025/04/28 15:05:51.970, 158 MiB, 12282 MiB
2025/04/28 15:05:52.970, 158 MiB, 12282 MiB
2025/04/28 15:05:53.971, 158 MiB, 12282 MiB
2025/04/28 15:05:54.971, 158 MiB, 12282 MiB
2025/04/28 15:05:55.972, 158 MiB, 12282 MiB
2025/04/28 15:05:56.972, 158 MiB, 12282 MiB
2025/04/28 15:05:57.973, 158 MiB, 12282 MiB
2025/04/28 15:05:58.973, 158 MiB, 12282 MiB
2025/04/28 15:05:59.974, 158 MiB, 12282 MiB
2025/04/28 15:06:00.974, 158 MiB, 12282 MiB
2025/04/28 15:06:01.974, 158 MiB, 12282 MiB
2025/04/28 15:06:02.975, 158 MiB, 12282 MiB
2025/04/28 15:06:03.975, 158 MiB, 12282 MiB
2025/04/28 15:06:04.975, 158 MiB, 12282 MiB
2025/04/28 15:06:05.976, 258 MiB, 12282 MiB
2025/04/28 15:06:06.976, 269 MiB, 12282 MiB
2025/04/28 15:06:07.985, 358 MiB, 12282 MiB
2025/04/28 15:06:08.985, 358 MiB, 12282 MiB
2025/04/28 15:06:09.985, 374 MiB, 12282 MiB
2025/04/28 15:06:10.986, 414 MiB, 12282 MiB
2025/04/28 15:06:11.986, 414 MiB, 12282 MiB
2025/04/28 15:06:12.986, 414 MiB, 12282 MiB
2025/04/28 15:06:13.986, 414 MiB, 12282 MiB
2025/04/28 15:06:14.987, 414 MiB, 12282 MiB
2025/04/28 15:06:15.987, 414 MiB, 12282 MiB
2025/04/28 15:06:16.987, 414 MiB, 12282 MiB
2025/04/28 15:06:17.987, 414 MiB, 12282 MiB
2025/04/28 15:06:18.988, 414 MiB, 12282 MiB
2025/04/28 15:06:19.988, 414 MiB, 12282 MiB
2025/04/28 15:06:20.988, 414 MiB, 12282 MiB
2025/04/28 15:06:21.988, 414 MiB, 12282 MiB
2025/04/28 15:06:22.989, 414 MiB, 12282 MiB
2025/04/28 15:06:23.989, 414 MiB, 12282 MiB
2025/04/28 15:06:24.989, 158 MiB, 12282 MiB
2025/04/28 15:06:25.989, 258 MiB, 12282 MiB
2025/04/28 15:06:26.990, 358 MiB, 12282 MiB
2025/04/28 15:06:27.990, 358 MiB, 12282 MiB
2025/04/28 15:06:28.990, 432 MiB, 12282 MiB
2025/04/28 15:06:29.990, 432 MiB, 12282 MiB
2025/04/28 15:06:30.991, 432 MiB, 12282 MiB
2025/04/28 15:06:31.991, 158 MiB, 12282 MiB
2025/04/28 15:06:32.991, 258 MiB, 12282 MiB
2025/04/28 15:06:33.991, 358 MiB, 12282 MiB
2025/04/28 15:06:34.992, 358 MiB, 12282 MiB
2025/04/28 15:06:35.992, 358 MiB, 12282 MiB
2025/04/28 15:06:36.992, 358 MiB, 12282 MiB
2025/04/28 15:06:37.992, 358 MiB, 12282 MiB
2025/04/28 15:06:38.993, 434 MiB, 12282 MiB
2025/04/28 15:06:39.993, 158 MiB, 12282 MiB
2025/04/28 15:06:40.993, 258 MiB, 12282 MiB
2025/04/28 15:06:41.993, 258 MiB, 12282 MiB
2025/04/28 15:06:42.994, 358 MiB, 12282 MiB
2025/04/28 15:06:43.994, 358 MiB, 12282 MiB
2025/04/28 15:06:44.994, 358 MiB, 12282 MiB
2025/04/28 15:06:45.994, 358 MiB, 12282 MiB
2025/04/28 15:06:46.994, 358 MiB, 12282 MiB
2025/04/28 15:06:47.994, 358 MiB, 12282 MiB
2025/04/28 15:06:48.995, 358 MiB, 12282 MiB
2025/04/28 15:06:49.995, 358 MiB, 12282 MiB
2025/04/28 15:06:50.995, 358 MiB, 12282 MiB
2025/04/28 15:06:51.995, 358 MiB, 12282 MiB
2025/04/28 15:06:52.995, 358 MiB, 12282 MiB
2025/04/28 15:06:53.995, 358 MiB, 12282 MiB
2025/04/28 15:06:54.995, 358 MiB, 12282 MiB
2025/04/28 15:06:55.996, 358 MiB, 12282 MiB
2025/04/28 15:06:56.996, 358 MiB, 12282 MiB
2025/04/28 15:06:57.996, 358 MiB, 12282 MiB
2025/04/28 15:06:58.996, 358 MiB, 12282 MiB
2025/04/28 15:06:59.996, 358 MiB, 12282 MiB
2025/04/28 15:07:00.997, 358 MiB, 12282 MiB
2025/04/28 15:07:01.997, 358 MiB, 12282 MiB
2025/04/28 15:07:02.997, 358 MiB, 12282 MiB
2025/04/28 15:07:03.997, 358 MiB, 12282 MiB
2025/04/28 15:07:04.997, 358 MiB, 12282 MiB
2025/04/28 15:07:05.997, 358 MiB, 12282 MiB
2025/04/28 15:07:06.997, 358 MiB, 12282 MiB
2025/04/28 15:07:07.998, 358 MiB, 12282 MiB
2025/04/28 15:07:08.998, 358 MiB, 12282 MiB
2025/04/28 15:07:09.998, 358 MiB, 12282 MiB
2025/04/28 15:07:10.998, 358 MiB, 12282 MiB
2025/04/28 15:07:11.998, 358 MiB, 12282 MiB
2025/04/28 15:07:12.998, 358 MiB, 12282 MiB
2025/04/28 15:07:13.998, 358 MiB, 12282 MiB
2025/04/28 15:07:14.999, 358 MiB, 12282 MiB
2025/04/28 15:07:15.999, 358 MiB, 12282 MiB
2025/04/28 15:07:16.999, 358 MiB, 12282 MiB
2025/04/28 15:07:17.999, 358 MiB, 12282 MiB
2025/04/28 15:07:18.999, 358 MiB, 12282 MiB
2025/04/28 15:07:19.999, 358 MiB, 12282 MiB
2025/04/28 15:07:21.000, 358 MiB, 12282 MiB
2025/04/28 15:07:22.000, 358 MiB, 12282 MiB
2025/04/28 15:07:23.000, 358 MiB, 12282 MiB
2025/04/28 15:07:24.000, 358 MiB, 12282 MiB
2025/04/28 15:07:25.000, 358 MiB, 12282 MiB
2025/04/28 15:07:26.000, 358 MiB, 12282 MiB
2025/04/28 15:07:27.000, 358 MiB, 12282 MiB
2025/04/28 15:07:28.001, 358 MiB, 12282 MiB
2025/04/28 15:07:29.001, 358 MiB, 12282 MiB
2025/04/28 15:07:30.001, 358 MiB, 12282 MiB
2025/04/28 15:07:31.001, 358 MiB, 12282 MiB
2025/04/28 15:07:32.001, 358 MiB, 12282 MiB
2025/04/28 15:07:33.001, 358 MiB, 12282 MiB
2025/04/28 15:07:34.001, 358 MiB, 12282 MiB
2025/04/28 15:07:35.002, 358 MiB, 12282 MiB
2025/04/28 15:07:36.002, 358 MiB, 12282 MiB
2025/04/28 15:07:37.002, 358 MiB, 12282 MiB
2025/04/28 15:07:38.002, 358 MiB, 12282 MiB
2025/04/28 15:07:39.002, 358 MiB, 12282 MiB
2025/04/28 15:07:40.002, 358 MiB, 12282 MiB
2025/04/28 15:07:41.003, 358 MiB, 12282 MiB
2025/04/28 15:07:42.003, 358 MiB, 12282 MiB
2025/04/28 15:07:43.003, 358 MiB, 12282 MiB
2025/04/28 15:07:44.003, 358 MiB, 12282 MiB
2025/04/28 15:07:45.003, 358 MiB, 12282 MiB
2025/04/28 15:07:46.003, 358 MiB, 12282 MiB
2025/04/28 15:07:47.004, 358 MiB, 12282 MiB
