timestamp, memory.used [MiB], memory.total [MiB]
2025/04/28 14:17:23.848, 158 MiB, 12282 MiB
2025/04/28 14:17:24.848, 158 MiB, 12282 MiB
2025/04/28 14:17:25.848, 158 MiB, 12282 MiB
2025/04/28 14:17:26.849, 158 MiB, 12282 MiB
2025/04/28 14:17:27.849, 158 MiB, 12282 MiB
2025/04/28 14:17:28.850, 158 MiB, 12282 MiB
2025/04/28 14:17:29.850, 158 MiB, 12282 MiB
2025/04/28 14:17:30.850, 158 MiB, 12282 MiB
2025/04/28 14:17:31.851, 158 MiB, 12282 MiB
2025/04/28 14:17:32.851, 158 MiB, 12282 MiB
2025/04/28 14:17:33.851, 158 MiB, 12282 MiB
2025/04/28 14:17:34.852, 158 MiB, 12282 MiB
2025/04/28 14:17:35.852, 158 MiB, 12282 MiB
2025/04/28 14:17:36.852, 258 MiB, 12282 MiB
2025/04/28 14:17:37.852, 358 MiB, 12282 MiB
2025/04/28 14:17:38.852, 418 MiB, 12282 MiB
2025/04/28 14:17:39.853, 1552 MiB, 12282 MiB
2025/04/28 14:17:40.853, 1854 MiB, 12282 MiB
2025/04/28 14:17:41.853, 1854 MiB, 12282 MiB
2025/04/28 14:17:42.853, 1854 MiB, 12282 MiB
2025/04/28 14:17:43.854, 1854 MiB, 12282 MiB
2025/04/28 14:17:44.854, 1854 MiB, 12282 MiB
2025/04/28 14:17:45.854, 1936 MiB, 12282 MiB
2025/04/28 14:17:46.854, 1936 MiB, 12282 MiB
2025/04/28 14:17:47.854, 1936 MiB, 12282 MiB
2025/04/28 14:17:48.855, 1936 MiB, 12282 MiB
2025/04/28 14:17:49.855, 1936 MiB, 12282 MiB
2025/04/28 14:17:50.855, 258 MiB, 12282 MiB
2025/04/28 14:17:51.855, 256 MiB, 12282 MiB
2025/04/28 14:17:52.856, 158 MiB, 12282 MiB
2025/04/28 14:17:53.856, 158 MiB, 12282 MiB
2025/04/28 14:17:54.856, 158 MiB, 12282 MiB
2025/04/28 14:17:55.856, 158 MiB, 12282 MiB
2025/04/28 14:17:56.856, 158 MiB, 12282 MiB
2025/04/28 14:17:57.857, 158 MiB, 12282 MiB
2025/04/28 14:17:58.857, 158 MiB, 12282 MiB
2025/04/28 14:17:59.857, 158 MiB, 12282 MiB
2025/04/28 14:18:00.857, 158 MiB, 12282 MiB
2025/04/28 14:18:01.858, 158 MiB, 12282 MiB
2025/04/28 14:18:02.858, 158 MiB, 12282 MiB
2025/04/28 14:18:03.859, 158 MiB, 12282 MiB
2025/04/28 14:18:04.859, 158 MiB, 12282 MiB
